Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,1/13/2022 16:31,FALSE,Austin - 6 Miles @ 10 min,8.01,995,1:24:13,169,184,162,179,10:31,8:59,34,42,0.94,0,0,0,0,0,0:00,0,0:00,No,00:04.1,9,0,1:24:07,1:24:16,427,452
Running,1/12/2022 16:53,FALSE,Austin Running,6.23,741,1:13:10,150,168,159,174,11:45,10:25,83,103,0.86,0,0,0,0,0,0:00,0,0:00,No,02:33.7,7,0,1:13:08,1:14:16,427,471
Running,1/11/2022 16:48,FALSE,Austin Running,6.22,728,1:14:22,147,168,159,171,11:58,10:18,91,112,0.85,0,0,0,0,0,0:00,0,0:00,No,02:25.8,7,0,1:14:14,1:15:36,427,471
Running,1/10/2022 16:42,FALSE,Austin - 7 Mile 200 x 16,7.58,871,1:25:20,155,188,156,236,11:15,6:02,76,97,0.91,0,0,0,0,0,0:00,0,0:00,No,00:50.8,36,0,1:24:53,1:26:17,427,469
Running,1/8/2022 7:54,FALSE,Austin Running,18.25,"2,059",3:45:21,151,171,161,236,12:21,10:01,291,293,0.81,0,0,0,0,0,0:00,0,0:00,No,02:59.4,19,0,3:44:46,3:53:09,427,471
Running,1/6/2022 16:51,FALSE,Austin - 6 Mile Threshold 2k @ 10,6.21,760,1:08:56,163,186,161,181,11:06,9:02,98,120,0.9,0,0,0,0,0,0:00,0,0:00,No,01:15.0,11,0,1:08:43,1:10:34,427,471
Running,1/5/2022 16:47,FALSE,Austin Running,6.24,723,1:16:27,147,162,158,174,12:16,11:06,68,88,0.83,0,0,0,0,0,0:00,0,0:00,No,02:48.2,7,0,1:16:26,1:17:38,427,470
Running,1/4/2022 16:30,FALSE,Austin - 7.5 Mile - 1600 x 800,7.6,913,1:21:15,162,184,158,181,10:42,7:47,103,124,0.95,0,0,0,0,0,0:00,0,0:00,No,01:29.9,16,0,1:21:06,1:21:15,427,469
Running,1/3/2022 11:04,FALSE,Austin Running,6.19,736,1:11:17,149,169,164,177,11:30,10:20,88,88,0.85,0,0,0,0,0,0:00,0,0:00,No,02:10.7,7,0,1:11:08,1:13:16,428,470
Running,1/2/2022 10:26,FALSE,Austin Running,4.21,500,0:49:09,150,183,162,191,11:41,7:12,61,61,0.85,0,0,0,0,0,0:00,0,0:00,No,01:25.2,7,0,0:49:02,0:49:09,429,459
Running,12/31/2021 7:40,FALSE,Austin Running,16.03,"1,796",3:21:26,147,168,158,247,12:34,11:03,370,374,0.81,0,0,0,0,0,0:00,0,0:00,No,00:22.0,17,0,3:20:49,3:25:21,427,633
Running,12/30/2021 9:31,FALSE,Austin Running,6.21,718,1:15:29,148,164,159,175,12:09,10:53,90,110,0.83,0,0,0,0,0,0:00,0,0:00,No,02:24.4,7,0,1:15:28,1:16:33,427,471
Running,12/28/2021 9:03,FALSE,Austin Running,6.22,719,1:16:46,148,167,160,175,12:20,10:05,98,119,0.81,0,0,0,0,0,0:00,0,0:00,No,02:31.7,7,0,1:16:44,1:17:59,427,470
Running,12/27/2021 9:52,FALSE,Austin - 9 Mile Speed,8.5,"1,008",1:39:30,158,188,153,190,11:42,6:22,51,51,0.89,0,0,0,0,0,0:00,0,0:00,No,00:12.9,31,0,1:39:05,1:43:34,427,452
Running,12/24/2021 7:09,FALSE,Austin Running,15.01,"1,686",3:07:12,150,168,161,172,12:29,10:18,247,245,0.8,0,0,0,0,0,0:00,0,0:00,No,00:03.0,16,0,3:07:04,3:07:31,427,472
Running,12/23/2021 16:25,FALSE,Austin Running,5.06,598,1:01:19,150,163,158,169,12:07,9:53,33,33,0.84,0,0,0,0,0,0:00,0,0:00,No,00:42.1,6,0,1:01:18,1:01:19,427,453
Running,12/22/2021 16:30,FALSE,Austin - 6 Mile Threshold,6.22,750,1:08:35,161,182,157,243,11:02,8:33,115,115,0.92,0,0,0,0,0,0:00,0,0:00,No,00:33.5,11,0,1:08:32,1:09:47,427,470
Running,12/21/2021 16:32,FALSE,Austin Running,6.3,735,1:15:25,148,168,159,172,11:58,10:48,84,104,0.84,0,0,0,0,0,0:00,0,0:00,No,03:24.7,7,0,1:15:13,1:17:14,427,470
Running,12/20/2021 12:26,FALSE,Austin - 6-7 Mile Fartlek: 4x5 min,7.45,855,1:20:35,157,183,160,182,10:49,7:58,65,86,0.93,0,0,0,0,0,0:00,0,0:00,No,03:00.0,16,0,1:20:33,1:21:15,427,469
Running,12/18/2021 8:38,FALSE,Austin Running,13.16,"1,517",2:48:08,152,171,156,173,12:46,10:53,241,244,0.81,0,0,0,0,0,0:00,0,0:00,No,01:51.9,14,0,2:47:51,2:48:55,427,472
Running,12/16/2021 11:52,FALSE,Austin - 5 Mile Threshold,5.13,621,1:00:05,156,179,155,245,11:42,9:01,25,23,0.89,0,0,0,0,0,0:00,0,0:00,No,00:15.3,9,0,0:59:53,1:00:05,427,456
Running,12/15/2021 16:34,FALSE,Austin Running,6.24,734,1:18:05,151,167,159,171,12:31,11:06,127,127,0.81,0,0,0,0,0,0:00,0,0:00,No,02:51.8,7,0,1:18:03,1:19:15,427,471
Running,12/14/2021 12:04,FALSE,Austin - 12x200 M - 7 miles,7.4,885,1:30:11,155,187,152,244,12:11,6:19,96,116,0.86,0,0,0,0,0,0:00,0,0:00,No,00:49.9,29,0,1:29:58,1:32:23,427,468
Running,12/13/2021 12:54,FALSE,Austin Running,6.22,705,1:17:11,144,161,159,168,12:25,11:09,123,145,0.82,0,0,0,0,0,0:00,0,0:00,No,02:30.0,7,0,1:17:05,1:18:23,427,471
Running,12/11/2021 8:10,FALSE,Austin Running,14.01,"1,615",2:52:53,154,179,163,198,12:21,10:51,418,418,0.8,0,0,0,0,0,0:00,0,0:00,No,00:04.8,15,0,2:52:11,2:59:45,427,583
Running,12/9/2021 16:41,FALSE,Austin Running,6.23,741,1:21:17,156,176,157,169,13:02,11:03,103,103,0.78,0,0,0,0,0,0:00,0,0:00,No,03:01.7,7,0,1:21:15,1:22:27,427,470
Running,12/8/2021 16:38,FALSE,Austin Running,6.22,718,1:19:09,150,171,160,171,12:44,11:33,94,94,0.79,0,0,0,0,0,0:00,0,0:00,No,02:43.7,7,0,1:19:00,1:20:48,427,470
Running,12/7/2021 15:34,FALSE,Austin - 4 x 1600 Workout,8.71,"1,027",1:39:48,161,187,156,244,11:27,8:23,23,44,0.89,0,0,0,0,0,0:00,0,0:00,No,01:30.0,13,0,1:39:46,1:39:52,427,462
Running,12/6/2021 16:51,FALSE,Austin Running,6.18,716,1:17:15,149,178,160,250,12:30,10:46,106,109,0.81,0,0,0,0,0,0:00,0,0:00,No,02:09.5,7,0,1:17:12,1:18:14,427,470
Running,12/4/2021 7:40,FALSE,Austin Running,12.01,"1,423",2:34:54,159,176,160,179,12:54,10:58,262,261,0.78,0,0,0,0,0,0:00,0,0:00,No,00:02.8,13,0,2:34:43,2:39:04,427,472
